no_joueur;no_saison;buts;passes_decisives;cartons_jaunes;cartons_rouges;nb_matchs
18;1;2;0;1;1;12
19;1;35;11;4;0;48
20;1;3;1;1;0;13
22;1;0;1;4;0;4
23;1;20;3;4;1;27
24;1;8;10;2;0;48
25;1;34;0;0;1;57
26;1;5;0;0;1;7
41;1;9;8;4;1;32
48;1;4;8;5;1;52
49;1;33;12;0;0;36
50;1;13;0;4;0;32
72;1;5;2;0;0;6
73;1;11;8;2;1;42
74;1;20;5;4;0;44
75;1;0;0;2;0;2
76;1;3;11;3;0;41
77;1;2;0;1;1;2
78;1;5;7;4;0;25
92;1;1;0;5;1;1
93;1;30;9;5;0;39
96;1;17;3;0;0;35
98;1;48;5;4;1;51
99;1;35;4;3;0;55
113;1;0;1;1;0;11
114;1;32;9;0;1;41
118;1;16;2;0;1;21
119;1;27;2;0;1;41
120;1;8;12;0;1;48
132;1;1;3;4;0;10
138;1;8;1;3;0;28
139;1;28;9;3;1;35
140;1;47;4;2;1;52
141;1;11;2;0;1;23
142;1;32;18;2;1;55
143;1;2;2;2;1;24
144;1;22;8;0;0;26
153;1;32;11;1;0;35
160;1;30;2;5;1;42
161;1;0;0;3;1;2
162;1;3;5;0;0;16
163;1;7;1;3;1;11
176;1;20;2;0;1;52
177;1;11;5;5;0;17
180;1;45;8;3;0;45
184;1;17;5;0;0;43
185;1;6;4;0;1;14
187;1;27;9;0;1;37
202;1;9;2;5;1;9
209;1;26;9;1;0;39
210;1;0;0;1;1;0
211;1;11;8;2;1;52
212;1;15;0;4;1;15
233;1;24;8;2;1;59
234;1;24;9;3;1;31
235;1;9;2;3;1;22
237;1;29;5;2;0;43
246;1;3;1;0;0;11
247;1;40;8;0;0;55
255;1;31;7;0;1;34
257;1;19;15;5;0;49
268;1;23;3;2;0;29
280;1;26;16;5;0;51
290;1;45;13;2;1;54
291;1;8;5;4;1;23
297;1;3;17;3;0;60
300;1;3;0;4;0;6
301;1;0;1;5;0;3
302;1;32;14;5;1;42
312;1;15;4;1;1;52
313;1;33;12;2;1;51
18;2;7;1;4;0;9
19;2;0;1;1;0;9
20;2;6;3;1;1;43
22;2;53;0;0;1;60
23;2;9;6;3;1;46
24;2;11;1;4;1;11
25;2;21;6;2;1;58
26;2;3;0;1;1;3
41;2;30;11;5;0;58
48;2;29;11;2;0;43
49;2;19;5;4;0;32
50;2;26;1;3;0;34
72;2;6;1;3;0;6
73;2;4;4;2;0;56
74;2;1;6;2;0;53
75;2;0;0;4;0;0
76;2;8;5;2;1;32
77;2;10;8;4;1;33
78;2;11;7;3;0;29
92;2;18;13;0;1;40
93;2;7;10;4;0;39
96;2;2;11;2;0;58
98;2;37;9;1;0;51
99;2;5;1;2;1;8
113;2;3;1;3;0;19
114;2;9;8;2;1;24
118;2;2;1;4;0;5
119;2;10;3;2;0;38
120;2;11;6;0;1;19
132;2;13;7;2;0;43
138;2;3;8;1;1;24
139;2;37;12;1;1;43
140;2;4;0;5;1;4
141;2;1;1;2;1;5
142;2;34;13;4;0;53
143;2;27;6;5;0;47
144;2;0;0;4;1;1
153;2;31;15;2;1;47
160;2;25;5;0;1;29
161;2;16;6;2;1;22
162;2;35;4;1;0;37
163;2;22;4;4;0;25
176;2;5;3;3;0;44
177;2;2;0;0;1;2
180;2;14;0;1;0;19
184;2;4;3;5;1;36
185;2;9;3;2;0;28
187;2;0;1;1;1;5
202;2;4;0;1;1;5
209;2;39;9;1;0;54
210;2;24;1;5;1;24
211;2;40;12;2;1;42
212;2;43;18;1;1;54
233;2;17;2;4;0;18
234;2;8;8;3;0;51
235;2;0;0;3;1;16
237;2;7;15;4;0;59
246;2;43;7;3;0;44
247;2;4;0;0;0;5
255;2;0;0;4;1;3
257;2;45;17;4;1;51
268;2;2;1;0;0;10
280;2;21;3;3;0;41
